index,mse,js_per_seq,js_conc,poiss,pr_corr,sp_corr,targets,pred type,eval type,bin_size,data_dir,l_rate,loss_fn,model_fn,num_epochs,window_size,run_dir
0,277710.03,0.3125767,0.35427511415453483,,0.8452163739979679,0.6274519149426514,HCT116,raw,idr,128,datasets/complete/peak_centered/i_3072_w_1/,0.001,basenjipearsonr,bpnet,100,2048,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211013_133035-be7pg0z7
0,421.23053,0.3965594,0.4238510477222068,,0.8452163739814624,0.6274519149426514,HCT116,scaled,idr,128,datasets/complete/peak_centered/i_3072_w_1/,0.001,basenjipearsonr,bpnet,100,2048,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211013_133035-be7pg0z7
0,192980.42,0.3201813,0.3497908137396084,,0.7424617575569973,0.6654104872212827,HepG2,raw,idr,128,datasets/complete/peak_centered/i_3072_w_1/,0.001,basenjipearsonr,bpnet,100,2048,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211013_133035-be7pg0z7
0,11.761455,0.37356672,0.39360371703112096,,0.7424617575872918,0.6654104872212827,HepG2,scaled,idr,128,datasets/complete/peak_centered/i_3072_w_1/,0.001,basenjipearsonr,bpnet,100,2048,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211013_133035-be7pg0z7
0,187790.89,0.29973337,0.3261855802112226,,0.7633744654652436,0.5703629061413024,IMR-90,raw,idr,128,datasets/complete/peak_centered/i_3072_w_1/,0.001,basenjipearsonr,bpnet,100,2048,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211013_133035-be7pg0z7
0,5.3209934,0.2732212,0.3015984049358674,,0.7633744655960046,0.5703629061413024,IMR-90,scaled,idr,128,datasets/complete/peak_centered/i_3072_w_1/,0.001,basenjipearsonr,bpnet,100,2048,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211013_133035-be7pg0z7
0,117869.78,0.3320869,0.3845910775316579,,0.7685731795794345,0.5585541983551907,DND-41,raw,idr,128,datasets/complete/peak_centered/i_3072_w_1/,0.001,basenjipearsonr,bpnet,100,2048,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211013_133035-be7pg0z7
0,25.4095,0.37996408,0.4224424431324397,,0.7685731799376216,0.5585541983551907,DND-41,scaled,idr,128,datasets/complete/peak_centered/i_3072_w_1/,0.001,basenjipearsonr,bpnet,100,2048,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211013_133035-be7pg0z7
0,242684.44,0.42602465,0.44995224818547513,,0.7581172220832104,0.660184754860524,K562,raw,idr,128,datasets/complete/peak_centered/i_3072_w_1/,0.001,basenjipearsonr,bpnet,100,2048,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211013_133035-be7pg0z7
0,32.002995,0.54410756,0.5509558867503799,,-0.7581172222533801,-0.660184754860524,K562,scaled,idr,128,datasets/complete/peak_centered/i_3072_w_1/,0.001,basenjipearsonr,bpnet,100,2048,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211013_133035-be7pg0z7
0,235343.27,0.39159912,0.4189761490577152,,0.7993138832005079,0.5852934594975012,RWPE2,raw,idr,128,datasets/complete/peak_centered/i_3072_w_1/,0.001,basenjipearsonr,bpnet,100,2048,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211013_133035-be7pg0z7
0,71.6284,0.53978276,0.5465794445833357,,-0.7993138833368826,-0.5852934594975012,RWPE2,scaled,idr,128,datasets/complete/peak_centered/i_3072_w_1/,0.001,basenjipearsonr,bpnet,100,2048,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211013_133035-be7pg0z7
0,226586.62,0.426941,0.4421012268555881,,0.7876131290742101,0.6938339166953732,GM23338,raw,idr,128,datasets/complete/peak_centered/i_3072_w_1/,0.001,basenjipearsonr,bpnet,100,2048,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211013_133035-be7pg0z7
0,16.92765,0.50462914,0.5144219669299899,,-0.7876131291751651,-0.6938339166953732,GM23338,scaled,idr,128,datasets/complete/peak_centered/i_3072_w_1/,0.001,basenjipearsonr,bpnet,100,2048,/home/shush/profile/QuantPred/paper_runs/bpnet/bin_loss_40/run-20211013_133035-be7pg0z7
